event_id,session_id,student_id,domain,event_type,question_id,value,timestamp
evt-00033914,sess-00909,S-654,pandas_core,answer_submit,pd-sr-confidence-cleaning,C,2026-01-29 18:16:05
evt-00037324,sess-00998,S-212,data_viz,question_view,dv-k-mpl-d1-01,,2026-02-25 14:03:43
evt-00025509,sess-00690,S-445,pandas_core,answer_submit,pd-sr-confidence-cleaning,D,2026-02-03 22:58:20
evt-00022356,sess-00606,S-345,python_fundamentals,option_select,py-k-oop-d2-02,C,2026-01-19 19:50:17
evt-00038886,sess-01039,S-715,pandas_core,question_view,pd-sr-confidence-merge,,2026-02-03 21:15:46
evt-00015874,sess-00431,S-768,python_fundamentals,answer_submit,py-k-ds-d2-01,C,2026-01-29 12:25:22
evt-00046743,sess-01250,S-067,python_fundamentals,option_select,py-k-ds-d2-03,C,2026-01-26 19:17:58
evt-00051035,sess-01365,S-260,sql_duckdb,answer_submit,sq-k-agg-d2-01,B,2026-03-17 11:38:33
evt-00041199,sess-01103,S-055,pandas_core,option_select,pd-k-cleaning-d2-01,A,2026-01-30 17:56:52
evt-00009979,sess-00271,S-433,pandas_core,answer_submit,pd-k-series-d1-02,D,2026-01-25 23:01:03
evt-00022980,sess-00621,S-543,python_fundamentals,question_view,py-k-oop-d2-01,,2026-01-24 13:32:30
evt-00059161,sess-01589,INVALID-126,data_viz,question_view,dv-sr-confidence-mpl,,2026-02-21 17:17:25
evt-00015517,sess-00422,S-811,sql_duckdb,session_end,,,2026-03-22 08:30:08
evt-00015391,sess-00419,S-506,python_fundamentals,option_select,py-sr-experience-oop,C,2026-01-20 22:42:26
evt-00000158,sess-00004,S-265,python_fundamentals,option_select,py-k-patterns-d3-01,C,
evt-00059970,sess-01609,S-060,sql_duckdb,option_select,sq-k-select-d1-01,D,2026-03-27 20:00:56
evt-00051348,sess-01374,S-003,pandas_core,answer_submit,pd-sr-confidence-series,C,2026-01-31 15:06:02
evt-00063025,sess-01693,S-729,sql_duckdb,option_select,sq-k-select-d1-01,B,2026-03-16 15:01:54
