domain,question_id,sub_skill,difficulty,dimension,correct_answer
data_viz,dv-k-mpl-d1-01,matplotlib_basics,D1,knowledge,
data_viz,dv-k-sns-d2-01,seaborn_statistical,D2,knowledge,
data_viz,dv-k-design-d2-01,design_principles,D2,knowledge,
data_viz,dv-a-design-d2-01,design_principles,D2,application,
pandas_core,pd-k-series-d1-01,series_dataframe,D1,knowledge,
pandas_core,pd-k-series-d1-02,series_dataframe,D1,knowledge,
pandas_core,pd-k-cleaning-d2-01,loading_cleaning,D2,knowledge,
pandas_core,pd-k-groupby-d2-01,groupby_aggregation,D2,knowledge,
pandas_core,pd-k-merge-d2-01,merging_joining,D2,knowledge,
pandas_core,pd-a-groupby-d2-01,groupby_aggregation,D2,application,
python_fundamentals,py-k-basics-d1-01,language_basics,D1,knowledge,
python_fundamentals,py-k-basics-d1-02,language_basics,D1,knowledge,
python_fundamentals,py-k-basics-d1-03,language_basics,D1,knowledge,
python_fundamentals,py-k-ds-d2-01,data_structures,D2,knowledge,
python_fundamentals,py-k-ds-d2-02,data_structures,D2,knowledge,
python_fundamentals,py-k-ds-d2-03,data_structures,D2,knowledge,
python_fundamentals,py-a-ds-d2-01,data_structures,D2,application,
python_fundamentals,py-k-oop-d2-01,oop,D2,knowledge,
python_fundamentals,py-k-oop-d2-02,oop,D2,knowledge,
python_fundamentals,py-k-patterns-d2-01,pythonic_patterns,D2,knowledge,
python_fundamentals,py-k-patterns-d2-02,pythonic_patterns,D2,knowledge,
python_fundamentals,py-k-patterns-d3-01,pythonic_patterns,D3,knowledge,
python_fundamentals,py-a-patterns-d3-01,pythonic_patterns,D3,application,
sql_duckdb,sq-k-select-d1-01,select_filter_sort,D1,knowledge,
sql_duckdb,sq-k-agg-d2-01,aggregation_groupby,D2,knowledge,
sql_duckdb,sq-k-joins-d2-01,joins_multi_table,D2,knowledge,
sql_duckdb,sq-k-window-d3-01,window_functions,D3,knowledge,
sql_duckdb,sq-a-window-d3-01,window_functions,D3,application,
