student_id,uniqname,cohort,section,program,display_name
S-265,learner265,W2026,1,MHI,Student 265
S-333,learner333,F2025,3,BSI,Student 333
S-673,learner673,W2025,2,BSI,Student 673
S-520,learner520,F2025,1,MHI,Student 520
S-523,learner523,F2025,2,BSI,Student 523
S-201,learner201,W2026,2,MHI,Student 201
S-092,learner092,W2025,1,MSI,Student 092
S-406,learner406,W2026,2,BSI,Student 406
S-239,learner239,F2025,2,BSI,Student 239
S-086,learner086,F2025,3,MHI,Student 086
S-372,learner372,W2026,1,MHI,Student 372
S-256,learner256,W2026,1,PhD,Student 256
S-257,learner257,W2026,2,MSI,Student 257
S-274,learner274,F2025,1,MSI,Student 274
S-098,learner098,W2026,1,PhD,Student 098
S-193,learner193,W2026,2,MHI,Student 193
S-163,learner163,W2025,1,BSI,Student 163
S-284,learner284,W2026,2,MSI,Student 284
S-404,learner404,W2026,1,MSI,Student 404
S-335,learner335,W2025,1,BSI,Student 335
S-140,learner140,F2025,1,MSI,Student 140
S-667,learner667,W2026,1,MSI,Student 667
S-477,learner477,W2026,1,PhD,Student 477
S-132,learner132,F2025,3,MHI,Student 132
S-367,learner367,F2025,1,MSI,Student 367
S-564,learner564,W2026,2,MHI,Student 564
S-772,learner772,W2025,2,PhD,Student 772
S-664,learner664,W2026,2,PhD,Student 664
S-099,learner099,W2025,2,PhD,Student 099
S-551,learner551,W2026,1,MSI,Student 551
S-228,learner228,W2026,2,PhD,Student 228
S-348,learner348,W2026,2,MSI,Student 348
S-186,learner186,F2025,3,MSI,Student 186
S-373,learner373,W2025,2,PhD,Student 373
S-795,learner795,W2026,1,BSI,Student 795
S-450,learner450,F2025,2,MSI,Student 450
S-255,learner255,W2025,1,BSI,Student 255
S-200,learner200,W2026,1,MHI,Student 200
S-738,learner738,W2026,1,MSI,Student 738
S-217,learner217,W2026,2,MHI,Student 217
S-657,learner657,W2026,1,BSI,Student 657
S-101,learner101,W2025,1,MHI,Student 101
S-723,learner723,W2026,2,BSI,Student 723
S-276,learner276,W2026,1,BSI,Student 276
S-016,learner016,W2026,2,MSI,Student 016
S-548,learner548,W2026,1,PhD,Student 548
